Class,Probability,RA,Dec,BP-RP,G,Parallax,Absolute Magnitude,Source ID
Subdwarf,0.74,134.27542307210396,-11.563607812299992,-0.3769703,14.974215,0.802327484917423,4.495973349293154,5736737896863648000
ZZ Ceti,0.9183333333333332,217.31001403661512,17.53861011274648,0.0397892,17.815592,6.268651614563758,11.801462671194455,1235533276400203776
CV,0.9716666666666668,31.00458633071648,43.69235436828524,1.1264,17.91477,3.3583384843095745,10.545392331046346,346478795636689024
ZZ Ceti,0.6566666666666666,26.60504080842529,40.97640830692072,0.13152504,18.02383,5.177406338590982,11.59439125535422,347421863079033088
Subdwarf,0.84,287.40728241858955,32.99989650311847,-0.39509487,15.377465,0.4740948295526449,3.7567910947871503,2043350039912047232
Eclipsing Binary,0.5666666666666667,21.967345671603702,-22.87033063109229,-0.1547184,18.45436,3.4024569644821114,11.11332320397474,5042184162602628608
CV,0.7533333333333333,285.71161395870485,27.1095960283012,0.26177216,16.388655,0.4640887304998359,4.721660112713996,2036969672712238976
Subdwarf,0.95,285.5406373476812,31.95058368178808,-0.27287102,15.822973,0.5229190574847903,4.415145348655491,2043538846670676864
Subdwarf,0.88,312.8940334569095,23.085562779376225,-0.38771343,15.365955,0.6702278727987374,4.497067424501468,1842141026928957184
CV,0.6316666666666667,286.6485135446486,28.12196714074268,-0.121305466,15.643991,0.6370144061113754,4.664737270184837,2037415700780608128
CV,1.0,313.4910270376185,23.568336213601714,0.81300354,17.76319,1.5886424451962606,8.768320809033192,1842553511290318464
CV,0.9966666666666668,287.5583682053371,29.10382543845644,0.7673168,18.937534,1.1860057143573508,9.307967907653389,2037590591849681152
CV,0.9983333333333332,311.54920666985254,24.34921150716769,0.46666145,17.011082,0.8598971523900609,6.6833145537730445,1843254106354614272
Subdwarf,0.5966666666666667,349.53046676782105,28.58290288281269,0.3408003,15.45875,1.0815216720485643,5.628926132314296,2845910240171925632
ZZ Ceti,0.905,184.33682383350728,25.7360914072994,0.03327751,17.790361,6.4508741278326776,11.838453839201286,4002567743555141760
CV,0.6633333333333333,286.86926262594955,-24.50870894685726,1.0782452,18.430904,2.4465109117765294,10.373639785568212,4080263014746617344
CV,1.0,109.51387825301732,64.7957559660723,0.5533924,18.128752,1.4697462661699707,8.964963827776126,1101345166494742400
Subdwarf,0.7733333333333333,104.3900160970045,68.08058706422112,-0.4227867,13.420429,1.8810868829616767,4.792473275251682,1103153042786918912
CV,0.9483333333333334,99.09548202177746,65.904100411107,0.64910316,18.64255,2.251493253725571,10.404903250000984,1104056493449217280
CV,0.9783333333333334,139.53655587340538,-5.626057267571362,0.14286041,16.399197,0.5590681928356714,5.136520922848566,5758451391790679168
CV,0.9966666666666668,134.16787612894026,-4.077709772369024,0.36735535,17.686602,1.3006639569563967,8.257427527808574,5761140728513144192
ZZ Ceti,0.865,96.3179839025962,14.932801368540572,0.0446167,17.464283,7.735351511047432,11.906683268806272,3356726158272880768
CV,0.8166666666666667,302.8201066192434,60.07445665876322,0.40700912,17.30277,0.6925137994876148,6.5049121593077945,2236896418906579072
CV,0.595,300.72589030977497,15.996098079498738,1.2781696,17.781515,2.5139638502880945,9.783310142140945,1808077057185851008
Subdwarf,0.6566666666666666,290.99152649897485,60.89194547487156,-0.32049656,15.985681,0.5093946119673974,4.520952734889031,2239688078928006016
Subdwarf,0.56,125.9760857893687,-11.111104386740438,-0.42101383,15.224274,0.8046417746759118,4.752286880675779,5751392252263076608
ZZ Ceti,0.8966666666666666,208.1956318665517,-4.693685716473217,0.05647278,17.400188,7.647923105599736,11.817905563847017,3656923687699486720
Subdwarf,0.5366666666666666,206.9308215717245,1.4170259193969583,0.15989399,15.460374,0.5972917322303546,4.341306516213297,3664813856154325760
Subdwarf,0.52,129.05426312130405,-8.039949194939364,-0.36705208,15.280132,0.5069610030159253,3.805004766820833,5753841281270433536
Subdwarf,0.7833333333333333,238.52984986103792,-19.30999987574315,-0.24798107,15.372406,0.5711418294178199,4.156125841448011,6247867798552835584
Subdwarf,0.6933333333333334,352.95870155401553,53.78369694866213,-0.14645195,14.09673,1.4201193461313224,4.858354219057071,1994254131308044800
Subdwarf,0.7733333333333333,139.46611099757217,-25.330894632564235,-0.29544544,13.680717,1.812149002803136,4.971686521987367,5650383937246220544
Subdwarf,0.6066666666666667,358.1411675119114,56.406799679161,-0.036789894,15.740151,0.6245120586471847,4.717855142721074,1995029218290321024
Subdwarf,0.7066666666666667,329.2756174533241,33.13654033893058,-0.3256817,13.385217,2.1033561228408946,4.999781050285817,1947819006485146496
CV,0.975,240.94205667792104,19.594395218504182,0.35661125,18.712383,4.25078886544562,11.854730671566877,1203263915795342336
Eclipsing Binary,0.9233333333333332,330.568905238086,36.511208829237454,1.075367,17.737469,2.445522066519061,9.67932692957965,1948852822293216896
Eclipsing Binary,0.5433333333333333,266.5246988673232,-3.1662630743020035,0.6034441,15.987483,1.2122551385928793,6.405453168548254,4176942419339829504
CV,1.0,76.91988877342281,-9.22715230669806,0.5424118,18.613432,2.0442548594825056,10.16610719402344,3182850042290304768
CV,0.965,336.26921802374017,37.80030016768342,0.7849159,17.968714,3.085867871564543,10.41560063410731,1908453535271897344
Subdwarf,0.8433333333333334,69.85042760020215,-7.5947605226506845,-0.23320484,14.6109495,0.9832060591860616,4.574172231526667,3186259151107456896
Subdwarf,0.6033333333333334,226.16882893887592,19.37927767222539,0.35019588,16.572395,2.529046018025635,8.587178658767844,1212921033795962368
Subdwarf,0.66,18.470838804442803,50.08699905818352,-0.093790054,14.954076,1.0214419969692736,5.0001445503323545,403506130145627008
ZZ Ceti,0.9083333333333332,60.96807127564482,-12.144253909346578,0.1084137,18.157173,5.12923242215714,11.70743489401597,3189894682008418816
CV,0.9933333333333332,349.788286658834,33.261007648512106,1.2946148,18.395613,1.6355980825930954,9.463995963802155,1910583495451438720
ZZ Ceti,0.8766666666666667,120.89076072398088,-9.118309186611052,0.07460022,17.692997,7.163287209184916,11.96855882187126,3039398650000089472
CV,0.7733333333333333,27.07107402432517,51.02130894932157,0.50001144,18.102753,1.543310914128673,9.045020137406382,406056486024031872
CV,0.995,26.451905300580524,51.72182512487779,0.4688797,16.331713,3.207028210949069,8.862226901303604,406158049112734336
Subdwarf,0.73,141.14553297069702,-20.49358000080332,-0.4373045,14.916137,0.5750665305876873,3.71472745993208,5676489916701604608
CV,0.925,125.27175270004211,-17.705866260385346,1.1661806,16.526777,2.399911978944832,8.42775356739227,5720164855021055744
ZZ Ceti,0.595,140.6992423594488,-17.66607841968434,0.11327934,17.800718,6.3532031178034885,11.815681701775546,5681746853591389568
Subdwarf,0.8,126.50486093480669,-16.337054956011837,-0.33281994,15.780068,0.4795122168499541,4.184066382277232,5721905549430390528
ZZ Ceti,0.8766666666666667,139.84113741285745,-18.288633392010617,0.03170204,17.572575,7.105519040559605,11.830554037790112,5681606833363339392
CV,0.6616666666666666,274.74517879000643,-21.97562430678099,2.2149677,18.908463,6.266521337592157,12.893595613932604,4090621273398423168
CV,0.5516666666666666,260.7963322582407,17.969162473334606,-0.38905716,14.648825,1.0207979228356998,4.693523888282813,4553448465214622848
CV,0.9983333333333332,260.6492546946297,18.086554272270583,0.50208664,18.423918,2.0937276867260155,10.028518980212898,4553500210980651904
Eclipsing Binary,0.8266666666666667,182.84456057041305,-23.67569210405487,1.6282692,17.944414,2.6179854018454223,10.034250102755014,3489840732511518464
CV,0.985,348.2505601196196,56.85562751119725,0.77788734,18.93542,2.686313974977871,11.081203857060602,2009453638310986752
Subdwarf,0.8333333333333334,105.36544272425512,4.392625014314967,-0.26135063,14.47094,1.1252310395260323,4.7271485184120845,3128424976927828864
ZZ Ceti,0.85,328.804363711646,63.18300323626667,0.00948143,17.672216,8.812360767490215,12.397677341691807,2216491579042731776
CV,0.9966666666666668,306.0363370449651,45.297013774412825,0.8723316,18.942759,1.1905670071164696,9.321528216268517,2082928026107003008
CV,0.6816666666666666,274.73407999015285,-21.752148419995727,1.7361164,19.340137,9.771861987596244,14.29002362304166,4090660168610004608
CV,0.675,274.09665732029293,-21.964461697406787,1.545042,19.171122,7.52939775179009,13.554923200037802,4090726998236654592
CV,0.86,273.8302409222054,-21.78191908694484,0.9180832,18.4543,2.5381322648292697,10.47687124952786,4090745311959098752
Subdwarf,0.7933333333333333,319.3271604942347,37.03935568974256,-0.28220654,15.218627,0.677182880713017,4.372156852723128,1867863242474413056
Subdwarf,0.8933333333333333,101.77574738873965,50.53913998424132,-0.3418951,15.298785,0.6009223362596445,4.192876735110493,991637446760364288
Subdwarf,0.8133333333333334,101.6016211193621,51.90478058364037,-0.30329418,14.757909,0.8031129553203447,4.281792158662322,991810310604240384
CV,1.0,99.22938929121187,55.96117902800235,0.572176,17.994923,2.2280575516113155,9.734555023227507,995076439957933696
Subdwarf,0.67,96.20391649190393,51.93048884174716,-0.21490479,15.823362,0.4721394146676717,4.193713286398596,995329916043197952
CV,0.665,92.81519188210474,55.73546338486568,0.5239601,16.631304,0.7178382783328942,5.911437065650008,997204613432591616
Subdwarf,0.5266666666666666,93.19718750208014,-17.675111752299724,-0.2405672,13.994193,1.1983099016632566,4.387038739587954,2943004023214007424
Subdwarf,0.5166666666666667,254.8972820901177,-17.223966643645138,0.15099907,16.054195,0.4963392487204575,4.533088094994779,4132826959121759872
Subdwarf,0.7766666666666666,255.0176552498276,-16.581087952912256,0.022953033,14.673165,1.1135876310792985,4.906786992331712,4132887294822900608
Subdwarf,0.7466666666666667,103.36825011607698,-9.79778061133522,-0.46597767,13.492115,1.8176348346322653,4.789648186416738,3050231661335769088
CV,0.9383333333333334,348.3785106230941,16.904661467514085,0.6174736,17.253855,1.8253167235807888,8.560546164151473,2818311909906928384
CV,1.0,297.1967303155437,57.15622774532453,0.6685562,17.115505,2.1010726687831163,8.727710366993442,2235124349761327232
Subdwarf,0.77,298.21190501397507,58.14364244977356,-0.43195057,14.483934,1.0528182001530697,4.595700920092407,2235556213015091456
CV,0.9983333333333332,301.0394275151594,59.197935808104,0.8089981,18.147797,0.746384663432458,7.512610535156014,2236431600365412992
ZZ Ceti,0.8966666666666666,19.59481687868281,18.10623890915863,0.06664467,18.509716,4.179000953623695,11.615078351235551,2785614770555316352
CV,0.9966666666666668,265.23463765993137,2.975441361714561,0.8388233,17.808947,1.0791089717804392,7.974273516525267,4376325246582929920
ZZ Ceti,0.9366666666666666,2.659523126360726,17.651742103230614,0.06851196,17.76528,6.23069654660052,11.737963001703038,2796821959433536640
Eclipsing Binary,0.6866666666666666,4.6255305033751934,43.054883640303615,-0.081213,18.966473,3.044907629024402,11.38434361158754,385190023070259712
CV,0.9966666666666668,75.87609158157613,20.14634904960004,1.8007355,18.705467,2.7801076016620287,10.925775026179792,3408745152893388800
CV,0.6516666666666666,9.387559879922556,44.66397968126672,2.0422554,20.414007,29.32190854556889,17.74996817429175,387853826211382272
Eclipsing Binary,0.6233333333333333,6.759252575231481,45.073266649687326,2.6676579,18.542423,10.916537801595712,13.732847614886705,388823183149271808
Eclipsing Binary,0.5733333333333334,11.485446946961972,43.701316292564506,0.66057396,20.032652,6.238060851566973,14.007900034672836,387879836532257024
Eclipsing Binary,0.6566666666666666,11.35839731814322,43.808359757880886,0.3662529,19.847904,4.700011111172561,13.208398423205423,387887189516436480
Eclipsing Binary,0.5433333333333333,6.460163027379933,45.51537468038332,0.70814514,19.639061,8.846699251652728,14.372967317227785,388839469666157696
Eclipsing Binary,0.5233333333333333,11.151890434373444,43.9308686040064,2.081499,19.694576,13.519166434154814,15.349325573336092,387903377249757312
Eclipsing Binary,0.69,11.519965903294556,44.14838401304349,0.5781536,20.119164,5.915083129300858,13.978968262438476,387921240017552000
Eclipsing Binary,0.8066666666666666,11.615980135509623,44.2564435197611,-0.07193756,18.310617,4.75482540634151,11.69628987297646,387923267242242432
Subdwarf,0.8933333333333333,308.8431937181488,2.3395093013480315,-0.3075819,15.881558,0.6226562426007987,4.852799732936996,4232453020512565376
CV,1.0,60.71985262642933,43.92900757879581,0.92988014,18.150219,1.7992086089379862,9.425626602326068,233133230009660800
ZZ Ceti,0.79,4.719143231377407,44.010658009866006,0.09853363,18.49571,5.079643697059328,12.024876252533872,385333608121091840
CV,0.715,4.202065706488509,42.66248073582536,2.9323273,19.578293,6.6317828713752185,13.686444493540948,385339591010133120
ZZ Ceti,0.9216666666666666,23.83734262836121,8.470500812606776,0.059671402,17.06059,8.82771342792161,11.789831131571107,2572682768899661312
ZZ Ceti,0.5183333333333333,25.828748066538257,10.33551704348259,0.27058792,18.262451,5.267997240373332,11.870678693928848,2573296944928207360
ZZ Ceti,0.8783333333333333,7.219060667784809,45.86470625738838,0.059984207,18.89117,3.8166068421942767,11.799557122695806,388919871452908032
ZZ Ceti,0.5416666666666666,3.8056346360515487,43.255736272906745,-0.02863884,18.620325,3.51328689557794,11.34889307898992,385369827581431040
CV,0.6583333333333333,4.062755625581474,43.45578776961093,2.1887245,20.286564,14.446478381774666,16.08537396011308,385389477055827328
CV,0.9266666666666666,21.53247482498244,12.180317697242591,1.1054344,18.851645,4.326073338482179,12.032114388076788,2586433428820493952
CV,0.94,133.78088633867628,-21.30266379315852,0.73934174,18.463118,1.005258227997968,8.474506182361393,5655877711517333888
ZZ Ceti,0.9416666666666668,24.241449225927443,16.640819819713624,-0.019908905,18.338152,5.152440483893047,11.898216919610825,2592501770932735488
ZZ Ceti,0.7816666666666666,6.860312273254477,43.35846081598116,0.006067276,18.212835,5.622411795529165,11.962448254717591,382579675090760448
Eclipsing Binary,0.74,6.844014796637255,43.48421082265857,0.60635567,19.644875,5.450525371695439,13.327066827925922,382586512677616640
ZZ Ceti,0.5966666666666667,11.793752028611,44.90612264494708,-0.090070724,18.812815,4.393684010681995,12.026959098434702,388058713330720256
CV,0.6683333333333333,8.854484764818475,45.630623758132415,2.963602,19.490788,6.484177270531295,13.550062397447126,389040547151355904
CV,0.8966666666666666,45.29009498868104,57.66504054276813,0.4273796,18.802084,5.289127504546329,12.419004183226356,461065632581058816
Subdwarf,0.7866666666666666,273.85155838536804,44.58605148774881,0.021514893,16.136694,0.4706390752146205,4.500133910051993,2115307269144023040
Eclipsing Binary,0.7233333333333334,5.527298238584462,44.03392963137098,0.9031105,19.884418,8.217540336729758,14.45812722271334,385661915420784896
CV,0.775,293.286208854673,9.832152965473034,0.062849045,15.98381,0.4182133956856069,4.0907996973959175,4302463770622668800
CV,0.6616666666666666,7.0087743095773325,43.57187516396884,3.0403633,20.06894,13.031658465889668,15.643938447231566,382670762756062720
Subdwarf,0.58,306.20710023076697,21.45280744348762,-0.27430248,14.164822,0.8616217609286739,3.8414052943692023,1817158988879945600
Eclipsing Binary,0.7266666666666667,7.88288797980206,46.25566038138626,0.969244,19.758684,8.761353239810974,14.471539952754297,389128744302965760
Subdwarf,0.5333333333333333,9.923457896329,44.45862375910074,0.8214636,16.372025,1.54938147353571,7.322816793298376,388171932964474624
Subdwarf,0.5966666666666667,9.071626351778082,46.19157080008254,0.8912306,17.24749,1.3300840829574978,7.86688548156555,389151666546171136
ZZ Ceti,0.525,8.978294525748725,46.2515744349134,-0.13189316,19.37623,2.75715771595877,11.578538047452192,389155029503325184
Eclipsing Binary,0.7833333333333333,6.803177732432943,44.300964400183005,0.78549385,20.259254,6.22179401171374,14.228832142946564,382725360381120384
ZZ Ceti,0.8683333333333333,6.786780782339815,44.36398174637564,0.053049088,18.504803,6.920742329380721,12.705566400219617,382731618150879616
CV,0.9283333333333332,269.5259761393631,81.33581094502554,0.8281822,19.085442,1.4614090016786627,9.909300890464532,1709872247709448064
CV,0.5316666666666666,211.64675269573465,74.31677553589897,0.22964573,15.564553,1.6375277203363892,6.635496302669431,1711956376295435520
Subdwarf,0.5433333333333333,6.445004258135619,44.13682447320692,1.1620703,17.100336,1.578151288378537,8.091079171041764,382748935456482816
ZZ Ceti,0.5033333333333333,5.358331943217143,44.90540322848471,0.44281006,19.045425,7.719371701108544,13.483334767322532,385795299925641600
Subdwarf,0.6733333333333333,186.57109896497923,77.71999275897365,-0.29640484,13.460604,1.4347725711726205,4.2445193279544124,1717096971112728448
ZZ Ceti,0.5316666666666666,231.17105628639885,80.83699456232908,0.05866623,18.369669,4.989036550549431,11.859752428338702,1721066238153407872
CV,0.6783333333333333,258.5652853656442,26.20316414936364,0.93213844,16.700708,2.1442289934597483,8.357063820414636,4573846879811201664
ZZ Ceti,0.6833333333333333,5.999127871340721,44.6441215149697,-0.0429821,16.779772,9.22930419191022,11.605616801443412,382794736989888512
ZZ Ceti,0.5766666666666667,4.176645524266002,40.219909532909455,-0.15412712,18.896303,3.9693487876451607,11.889899310729207,382993538138799872
Eclipsing Binary,0.5433333333333333,10.459195254100036,45.27723566734134,2.4999294,18.94306,9.929963178418424,13.927798190392645,388304767713793024
ZZ Ceti,0.9083333333333332,249.8093774257825,47.81018003151219,0.028612137,17.762014,6.712208235904124,11.896341106729311,1410345596469085184
ZZ Ceti,0.6016666666666667,11.964191641287613,45.80483504569257,-0.10977936,19.310207,3.206372512006228,11.84027688346352,389610742713434368
ZZ Ceti,0.5116666666666667,4.277432968355965,40.74537435377068,-0.070568085,19.027369,3.5967779712389456,11.806937148444977,383396302991862656
ZZ Ceti,0.7233333333333334,11.601190439718977,46.01329523219522,0.02337265,19.352697,3.113428989757957,11.818891824499454,389628369257722880
Eclipsing Binary,0.7666666666666667,4.551440894131522,40.69461031585965,0.68989944,19.872948,8.000804170919016,14.38861620335998,383404583688764416
CV,0.9766666666666668,266.94696020972737,55.48827958114349,0.47501373,19.153507,2.3088924116408345,10.970525481997496,1418364678367782016
ZZ Ceti,0.525,4.477451152993776,40.77117342603104,0.34052658,18.669735,6.654950545117856,12.785459162267426,383408809941322752
Subdwarf,0.8366666666666667,104.00188367133178,-1.3155986178380628,-0.328063,14.338852,1.1007158205263157,4.547228043052636,3112125468664621952
CV,0.97,51.79828751864245,-17.316222073590524,1.6763039,17.095684,7.835132754328578,11.565915796610096,5105520847021315712
ZZ Ceti,0.57,33.04426822050463,-27.787428029370624,0.12033653,17.709993,6.845771275607781,11.887104924052514,5117357983046828416
ZZ Ceti,0.5066666666666667,10.588207811727251,43.661501977189154,0.17090225,18.869173,5.740249708093018,12.663826925829644,387562253766354560
