class,probability,ra,dec,parallax,source_id,source_id_1,name,wdname,spectype,comp,logg,mass,binarity,ismag,hasdisk,variability,source_id_2,bp_rp,G,absolute magnitude
CV,Known Variable,301.90243261138374,17.70398444239941,22.103506001312454,1809844934461976832,,,,,,,,,,,,,,,
CV,Known Variable,303.26677500556184,15.59615533601892,1.4212052352354292,1808517927003421056,,,,,,,,,,,,,,,
CV,Known Variable,317.4603977262317,13.810940767214907,4.5533934917128,1759156585115470976,,,,,,,,,,,,,,,
CV,Known Variable,245.8472824856324,78.43436343475258,2.698970988392896,1707635020719834880,,,,,,,,,,,,,,,
CV,Known Variable,234.50031845697785,18.86759504872747,2.0279812154336936,1209876314302933632,,,,,,,,,,,,,,,
CV,Known Variable,239.2269993110532,21.12192379075724,3.1105783135201377,1204588041329337600,,,,,,,,,,,,,,,
CV,Known Variable,238.196448460572,18.94162129472689,7.593545580044447,1203639265875666304,,,,,,,,,,,,,,,
CV,Known Variable,231.5581593922861,8.30049437072688,3.356109457837461,1163811724898541440,,,,,,,,,,,,,,,
CV,Known Variable,228.5649433550868,7.746035484771119,5.53069625737812,1163569523103341568,,,,,,,,,,,,,,,
CV,Known Variable,113.42263440238716,67.53763922239901,1.7595638454849367,1108037726271701248,,,,,,,,,,,,,,,
CV,Known Variable,109.81051433823215,65.962267135487,2.328162830486095,1101817445394854400,,,,,,,,,,,,,,,
CV,Known Variable,101.58171231739968,50.763642232902114,0.651005406183955,991644314411825536,,,,,,,,,,,,,,,
CV,Known Variable,134.78830856583355,5.615124168586091,2.249725594051247,583340808875713280,,,,,,,,,,,,,,,
CV,Known Variable,132.7807873854784,3.142917756466642,1.7210466290976132,581110831791334400,,,,,,,,,,,,,,,
CV,Known Variable,136.0145190672494,3.916999204989007,3.518598974630864,579909164365936512,,,,,,,,,,,,,,,
CV,Known Variable,40.71331917783068,56.691977579173134,5.522324869663217,454808969042727168,,,,,,,,,,,,,,,
CV,Known Variable,8.898767498113362,46.39786670628548,2.104845148706404,389180322567909888,,,,,,,,,,,,,,,
CV,Known Variable,10.230793238638958,43.41650568140008,0.6108685691493502,387544008745199360,,,,,,,,,,,,,,,
CV,Known Variable,0.5932669899514769,42.70366714890256,2.486947570695433,384460943781889024,,,,,,,,,,,,,,,
CV,Known Variable,26.26366206274269,37.94253386269427,2.407045416503102,343491353823524864,,,,,,,,,,,,,,,
CV,Known Variable,27.56743292158404,37.93861341351989,1.3658440102526697,342789139554660096,,,,,,,,,,,,,,,
CV,Known Variable,21.41403658623172,32.38564201090676,3.8428006992803017,316447594027782912,,,,,,,,,,,,,,,
CV,Known Variable,27.71469857209696,33.43936951459864,1.3529543973153622,305760371070111872,,,,,,,,,,,,,,,
CV,Known Variable,22.99945607213559,29.82277690669161,1.7571094504311229,303221877895676672,,,,,,,,,,,,,,,
CV,Known Variable,30.952550253276968,29.990443212556315,1.908762530815472,300427537812198656,,,,,,,,,,,,,,,
CV,Known Variable,42.50064300485136,37.65609477509377,1.8610594586854248,141759351271651456,,,,,,,,,,,,,,,
CV,Known Variable,41.24082278911816,27.519204004749685,2.986578218736761,126928996700556928,,,,,,,,,,,,,,,
Eclipsing Binary,Known Variable,8.549124926540703,44.42262015036406,4.083289765202259,388582115224067200,,,,,,,,,,,,,,,
Eclipsing Binary,Known Variable,29.514213324026056,28.38435151316496,3.905798340761722,298356019250182016,,,,,,,,,,,,,,,
Eclipsing Binary,Known Variable,35.01897808991266,63.06656439951715,11.09326582822314,513958743252720768,,,,,,,,,,,,,,,
Eclipsing Binary,Known Variable,52.21858168001024,-23.136490201775885,2.500382748227053,5098646558590111232,,,,,,,,,,,,,,,
Eclipsing Binary,Known Variable,97.60904622339469,41.79843349414428,1.6011128112547828,958364128959466624,,,,,,,,,,,,,,,
Eclipsing Binary,Known Variable,125.51546885861508,-8.908407027064374,3.126181668611677,5752707302529201152,,,,,,,,,,,,,,,
Eclipsing Binary,Known Variable,211.76066779292003,21.26659730948021,4.078919930749171,1247210845801446528,,,,,,,,,,,,,,,
Subdwarf,Known Variable,0.4068839198374655,-35.66487582312772,0.9230293645485528,2309587292982876544,,,,,,,,,,,,,,,
Subdwarf,Known Variable,1.692932568816066,-27.348166347271423,1.5200890831569962,2333646741998127744,,,,,,,,,,,,,,,
Subdwarf,Known Variable,2.92351427595977,19.34041113010944,0.8530024441927974,2797293512483062912,,,,,,,,,,,,,,,
Subdwarf,Known Variable,9.522662426280124,43.74733706457763,0.6709898433450944,387661209812972928,,,,,,,,,,,,,,,
Subdwarf,Known Variable,10.676681084831255,43.31691312782644,0.7552286865139283,387533868326227456,,,,,,,,,,,,,,,
Subdwarf,Known Variable,10.838364249048826,44.573289737473225,0.6054818484422049,387992437690797696,,,,,,,,,,,,,,,
Subdwarf,Known Variable,12.907198809052993,-30.71547420433837,0.907344519256872,5031702144593331712,,,,,,,,,,,,,,,
Subdwarf,Known Variable,14.590986043726843,55.63079177547098,1.1010494565710118,423505288886486272,,,,,,,,,,,,,,,
Subdwarf,Known Variable,15.305528176188888,31.432029517502865,1.7781702042990613,312628749626419328,,,,,,,,,,,,,,,
Subdwarf,Known Variable,17.111563875273866,-32.71989373567329,2.588565244962917,5026956858566738688,,,,,,,,,,,,,,,
Subdwarf,Known Variable,17.5775680993426,-34.007205219198866,1.204835442958262,5026270179195363328,,,,,,,,,,,,,,,
Subdwarf,Known Variable,18.43970230933974,17.980549702178617,0.5711907910423039,2784332018443668608,,,,,,,,,,,,,,,
Subdwarf,Known Variable,18.976172130637973,26.23339419402829,0.8072441040758015,294818409307323904,,,,,,,,,,,,,,,
Subdwarf,Known Variable,26.414575692176587,15.078384665930018,1.2966956488527115,2588387849393475840,,,,,,,,,,,,,,,
